"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sun Dec 17 02:38:34 UTC 2023","Sun Dec 17 02:38:41 UTC 2023","7837","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","9. Complete Insurance Quote",""
"passed","Sun Dec 17 03:06:15 UTC 2023","Sun Dec 17 03:06:18 UTC 2023","2362","","10. Client Portal - Account Dashboard","","","","5. Expand Strategic",""
"passed","Sun Dec 17 02:54:25 UTC 2023","Sun Dec 17 02:54:35 UTC 2023","9989","","6. Company Account","","","","4. Complete Build Your Portfolio",""
"passed","Sun Dec 17 02:48:12 UTC 2023","Sun Dec 17 02:48:16 UTC 2023","4256","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","10. Review Final Review",""
"passed","Sun Dec 17 02:51:32 UTC 2023","Sun Dec 17 02:51:44 UTC 2023","11294","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","4. Complete Build Your Portfolio",""
"passed","Sun Dec 17 04:03:27 UTC 2023","Sun Dec 17 04:03:40 UTC 2023","13512","","22. Individual Onboarding for Interactive Brokers","","","","1. Log into user with IB access",""
"passed","Sun Dec 17 02:31:01 UTC 2023","Sun Dec 17 02:31:26 UTC 2023","25262","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","10. Complete Risk Profile and navigate to Review",""
"passed","Sun Dec 17 02:40:43 UTC 2023","Sun Dec 17 02:40:51 UTC 2023","8201","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","2. Create a SMSF Account",""
"passed","Sun Dec 17 02:51:44 UTC 2023","Sun Dec 17 02:51:46 UTC 2023","2635","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sun Dec 17 02:53:52 UTC 2023","Sun Dec 17 02:54:11 UTC 2023","19382","","6. Company Account","","","","1. Validate login credentials",""
"passed","Sun Dec 17 03:48:29 UTC 2023","Sun Dec 17 03:48:45 UTC 2023","15339","","19. Look Up Investment Account","","","","1. Log in using manager login",""
"passed","Sun Dec 17 02:30:25 UTC 2023","Sun Dec 17 02:30:35 UTC 2023","9604","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","7. Complete Screen and Tilts",""
"passed","Sun Dec 17 03:05:49 UTC 2023","Sun Dec 17 03:06:15 UTC 2023","26085","","10. Client Portal - Account Dashboard","","","","4. Check Tactical Panel",""
"passed","Sun Dec 17 03:41:57 UTC 2023","Sun Dec 17 03:42:11 UTC 2023","14181","","18. Check Admin header","","","","1. Log in using manager login",""
"passed","Sun Dec 17 02:41:21 UTC 2023","Sun Dec 17 02:41:27 UTC 2023","6081","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","5. Complete Screen and Tilts",""
"passed","Sun Dec 17 03:37:56 UTC 2023","Sun Dec 17 03:37:59 UTC 2023","3103","","16. Nucleus Wealth Wordpress Site","","","","4. Visit Superannuation",""
"passed","Sun Dec 17 03:48:45 UTC 2023","Sun Dec 17 03:48:54 UTC 2023","9572","","19. Look Up Investment Account","","","","2. Direct to Investment Account Search",""
"passed","Sun Dec 17 02:51:19 UTC 2023","Sun Dec 17 02:51:27 UTC 2023","8762","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","2. Create a Trust Account",""
"passed","Sun Dec 17 03:38:05 UTC 2023","Sun Dec 17 03:38:08 UTC 2023","2274","","16. Nucleus Wealth Wordpress Site","","","","7. Visit Contact",""
"passed","Sun Dec 17 02:29:40 UTC 2023","Sun Dec 17 02:30:05 UTC 2023","24780","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","5. Navigate to Build Your Portfolio from Investment Choice",""
"passed","Sun Dec 17 02:44:43 UTC 2023","Sun Dec 17 02:44:59 UTC 2023","15721","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Dec 17 04:04:55 UTC 2023","Sun Dec 17 04:06:03 UTC 2023","68291","","22. Individual Onboarding for Interactive Brokers","","","","9. Complete Applicants",""
"passed","Sun Dec 17 03:37:59 UTC 2023","Sun Dec 17 03:38:03 UTC 2023","3027","","16. Nucleus Wealth Wordpress Site","","","","5. Visit Direct Indexing",""
"passed","Sun Dec 17 02:54:11 UTC 2023","Sun Dec 17 02:54:20 UTC 2023","9127","","6. Company Account","","","","2. Create a Company Account",""
"passed","Sun Dec 17 03:37:54 UTC 2023","Sun Dec 17 03:37:56 UTC 2023","2295","","16. Nucleus Wealth Wordpress Site","","","","3. Visit Ethical Investing",""
"passed","Sun Dec 17 02:28:57 UTC 2023","Sun Dec 17 02:29:18 UTC 2023","20781","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Dec 17 02:51:01 UTC 2023","Sun Dec 17 02:51:19 UTC 2023","17059","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","1. Validate login credentials",""
"passed","Sun Dec 17 03:10:49 UTC 2023","Sun Dec 17 03:10:50 UTC 2023","855","","12. Client Portal - Forms","","","","2. Check Form Page",""
"passed","Sun Dec 17 02:54:53 UTC 2023","Sun Dec 17 02:55:02 UTC 2023","9568","","6. Company Account","","","","7. Complete In Company Details",""
"passed","Sun Dec 17 03:38:08 UTC 2023","Sun Dec 17 03:38:21 UTC 2023","13621","","16. Nucleus Wealth Wordpress Site","","","","8. Visit Member Login",""
"passed","Sun Dec 17 02:29:18 UTC 2023","Sun Dec 17 02:29:40 UTC 2023","22119","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","3. Create new Individual investment account",""
"passed","Sun Dec 17 03:06:18 UTC 2023","Sun Dec 17 03:06:19 UTC 2023","1216","","10. Client Portal - Account Dashboard","","","","6. Expand Ethics/Exclusions",""
"passed","Sun Dec 17 03:50:53 UTC 2023","Sun Dec 17 03:51:03 UTC 2023","9888","","20. Admin Portal - Check details","","","","4. Direct to Account’s client portal",""
"passed","Sun Dec 17 03:06:19 UTC 2023","Sun Dec 17 03:06:30 UTC 2023","11354","","10. Client Portal - Account Dashboard","","","","7. Expand Portfolio",""
"passed","Sun Dec 17 04:03:50 UTC 2023","Sun Dec 17 04:03:54 UTC 2023","3978","","22. Individual Onboarding for Interactive Brokers","","","","4. Navigate to Risk Profile page",""
"passed","Sun Dec 17 03:48:57 UTC 2023","Sun Dec 17 03:49:01 UTC 2023","4217","","19. Look Up Investment Account","","","","4. Expand Account ID 445",""
"passed","Sun Dec 17 03:32:15 UTC 2023","Sun Dec 17 03:32:18 UTC 2023","2676","","13. Client Portal - Change Portfolio","","","","2. Direct user to “Investment Choice”",""
"passed","Sun Dec 17 04:06:08 UTC 2023","Sun Dec 17 04:06:12 UTC 2023","4564","","22. Individual Onboarding for Interactive Brokers","","","","11. Complete Compliance",""
"passed","Sun Dec 17 02:52:00 UTC 2023","Sun Dec 17 02:52:20 UTC 2023","19869","","5. Log in to the Nucleus Wealth portal, create a Trust Account and complete the onboarding portal","","","","7. Complete In Trust Details",""
"passed","Sun Dec 17 04:29:45 UTC 2023","Sun Dec 17 04:29:56 UTC 2023","10766","","23. Change Portfolio for Interactive Brokers","","","","1. Log into user with IB access and direct user to “Your Account(s)” page",""
"passed","Sun Dec 17 02:31:49 UTC 2023","Sun Dec 17 02:31:54 UTC 2023","4853","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","11. Scrape results from Review and navigate to Applicants",""
"passed","Sun Dec 17 03:32:05 UTC 2023","Sun Dec 17 03:32:15 UTC 2023","10222","","13. Client Portal - Change Portfolio","","","","1. Direct user to “Your Account(s)” page",""
"passed","Sun Dec 17 04:30:02 UTC 2023","Sun Dec 17 04:30:09 UTC 2023","7592","","23. Change Portfolio for Interactive Brokers","","","","4. Complete Risk Profile",""
"passed","Sun Dec 17 03:05:38 UTC 2023","Sun Dec 17 03:05:49 UTC 2023","10843","","10. Client Portal - Account Dashboard","","","","3. Direct user to Account Dashboard",""
"passed","Sun Dec 17 02:56:47 UTC 2023","Sun Dec 17 02:57:57 UTC 2023","70482","","8. Sign Up new user","","","","1. Create a new user",""
"passed","Sun Dec 17 03:08:46 UTC 2023","Sun Dec 17 03:08:46 UTC 2023","211","","11. Client Portal - Administration","","","","3. Check Upload Verification Documents",""
"passed","Sun Dec 17 02:38:33 UTC 2023","Sun Dec 17 02:38:34 UTC 2023","172","","2. Log in to the Nucleus Wealth portal, create a Personal Super Account and complete the onboarding portal","","","","8. Navigate to Insurance Quote",""
"passed","Sun Dec 17 02:32:53 UTC 2023","Sun Dec 17 02:32:59 UTC 2023","5434","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","13. Complete Bank Details",""
"passed","Sun Dec 17 04:04:20 UTC 2023","Sun Dec 17 04:04:23 UTC 2023","3470","","22. Individual Onboarding for Interactive Brokers","","","","6. Complete Build Your Portfolio",""
"passed","Sun Dec 17 02:30:35 UTC 2023","Sun Dec 17 02:30:50 UTC 2023","15288","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","8. Review Review Page",""
"passed","Sun Dec 17 02:47:11 UTC 2023","Sun Dec 17 02:48:06 UTC 2023","55773","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","7. Complete Applicants",""
"passed","Sun Dec 17 02:45:48 UTC 2023","Sun Dec 17 02:45:56 UTC 2023","8385","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","5. Complete Screen and tilts",""
"passed","Sun Dec 17 03:32:43 UTC 2023","Sun Dec 17 03:32:44 UTC 2023","1668","","13. Client Portal - Change Portfolio","","","","5. Check Final Review",""
"passed","Sun Dec 17 03:37:38 UTC 2023","Sun Dec 17 03:37:50 UTC 2023","12158","","16. Nucleus Wealth Wordpress Site","","","","1. Visit Production Site",""
"passed","Sun Dec 17 03:32:21 UTC 2023","Sun Dec 17 03:32:42 UTC 2023","21880","","13. Client Portal - Change Portfolio","","","","4. Complete Build Your Portfolio",""
"passed","Sun Dec 17 02:47:06 UTC 2023","Sun Dec 17 02:47:11 UTC 2023","4283","","4. Log in to the Nucleus Wealth portal, create a Joint Account and complete the onboarding portal","","","","6. Review Review Page",""
"passed","Sun Dec 17 02:42:58 UTC 2023","Sun Dec 17 02:43:01 UTC 2023","2888","","3. Log in to the Nucleus Wealth portal, create an SMSF Account and complete the onboarding portal","","","","8. Navigate from Applicants to Final Review",""
"passed","Sun Dec 17 02:32:59 UTC 2023","Sun Dec 17 02:34:10 UTC 2023","71167","","1. Log in to the Nucleus Wealth portal, create an individual account, and complete the onboarding portal","","","","14. Complete Final Review",""
"passed","Sun Dec 17 03:52:36 UTC 2023","Sun Dec 17 03:52:44 UTC 2023","8552","","21. Forgot password function","","","","1. Direct to forgot password page",""
"passed","Sun Dec 17 02:54:20 UTC 2023","Sun Dec 17 02:54:25 UTC 2023","4973","","6. Company Account","","","","3. Complete Investment Choice",""
